fast,slow,atr,total_return,total_trades,win_rate,final_equity
9,40,0.01,0.23559733815806205,6,0.8333333333333334,1.235597338158062
9,40,0.015,0.23559733815806205,6,0.8333333333333334,1.235597338158062
9,40,0.02,0.23559733815806205,6,0.8333333333333334,1.235597338158062
3,75,0.0,0.22841232190138494,4,0.5,1.228412321901385
3,75,0.001,0.22841232190138494,4,0.5,1.228412321901385
3,75,0.002,0.22841232190138494,4,0.5,1.228412321901385
3,75,0.003,0.22841232190138494,4,0.5,1.228412321901385
3,75,0.005,0.22841232190138494,4,0.5,1.228412321901385
3,75,0.008,0.22841232190138494,4,0.5,1.228412321901385
3,75,0.01,0.22841232190138494,4,0.5,1.228412321901385
3,75,0.015,0.22841232190138494,4,0.5,1.228412321901385
3,75,0.02,0.22841232190138494,4,0.5,1.228412321901385
11,50,0.0,0.2280731990376288,4,0.75,1.2280731990376288
11,50,0.001,0.2280731990376288,4,0.75,1.2280731990376288
11,50,0.002,0.2280731990376288,4,0.75,1.2280731990376288
11,50,0.003,0.2280731990376288,4,0.75,1.2280731990376288
11,50,0.005,0.2280731990376288,4,0.75,1.2280731990376288
11,50,0.008,0.2280731990376288,4,0.75,1.2280731990376288
11,50,0.01,0.2280731990376288,4,0.75,1.2280731990376288
11,50,0.015,0.2280731990376288,4,0.75,1.2280731990376288
11,50,0.02,0.2280731990376288,4,0.75,1.2280731990376288
13,55,0.0,0.224479846427607,4,0.75,1.224479846427607
13,55,0.001,0.224479846427607,4,0.75,1.224479846427607
13,55,0.002,0.224479846427607,4,0.75,1.224479846427607
13,55,0.003,0.224479846427607,4,0.75,1.224479846427607
13,55,0.005,0.224479846427607,4,0.75,1.224479846427607
13,55,0.008,0.224479846427607,4,0.75,1.224479846427607
13,55,0.01,0.224479846427607,4,0.75,1.224479846427607
13,55,0.015,0.224479846427607,4,0.75,1.224479846427607
13,55,0.02,0.224479846427607,4,0.75,1.224479846427607
9,35,0.0,0.2221039523415076,9,0.5555555555555556,1.2221039523415076
9,35,0.001,0.2221039523415076,9,0.5555555555555556,1.2221039523415076
9,35,0.002,0.2221039523415076,9,0.5555555555555556,1.2221039523415076
9,35,0.003,0.2221039523415076,9,0.5555555555555556,1.2221039523415076
9,35,0.005,0.2221039523415076,9,0.5555555555555556,1.2221039523415076
9,35,0.008,0.2221039523415076,9,0.5555555555555556,1.2221039523415076
9,35,0.01,0.2221039523415076,9,0.5555555555555556,1.2221039523415076
9,35,0.015,0.2221039523415076,9,0.5555555555555556,1.2221039523415076
9,35,0.02,0.2221039523415076,9,0.5555555555555556,1.2221039523415076
5,45,0.0,0.21979767833537234,6,0.6666666666666666,1.2197976783353723
5,45,0.001,0.21979767833537234,6,0.6666666666666666,1.2197976783353723
5,45,0.002,0.21979767833537234,6,0.6666666666666666,1.2197976783353723
5,45,0.003,0.21979767833537234,6,0.6666666666666666,1.2197976783353723
5,45,0.005,0.21979767833537234,6,0.6666666666666666,1.2197976783353723
5,45,0.008,0.21979767833537234,6,0.6666666666666666,1.2197976783353723
5,45,0.01,0.21979767833537234,6,0.6666666666666666,1.2197976783353723
5,45,0.015,0.21979767833537234,6,0.6666666666666666,1.2197976783353723
5,45,0.02,0.21979767833537234,6,0.6666666666666666,1.2197976783353723
25,30,0.0,0.21169065834278755,11,0.6363636363636364,1.2116906583427876
25,30,0.001,0.21169065834278755,11,0.6363636363636364,1.2116906583427876
25,30,0.002,0.21169065834278755,11,0.6363636363636364,1.2116906583427876
25,30,0.003,0.21169065834278755,11,0.6363636363636364,1.2116906583427876
25,30,0.005,0.21169065834278755,11,0.6363636363636364,1.2116906583427876
25,30,0.008,0.21169065834278755,11,0.6363636363636364,1.2116906583427876
25,30,0.01,0.21169065834278755,11,0.6363636363636364,1.2116906583427876
